Transaction Date,Name,Title,Buy/Sell,Number of Shares,Average Share Price,Total Transaction,Details
6/28/2024,Pippa Lambert,Insider,Buy,"1,003",GBX 482,"£4,834.46",
6/24/2024,Thomas Neil,Insider,Buy,"100,000",GBX 484,"£484,000",
5/31/2024,Cheryl Agius,Insider,Buy,"15,000",GBX 482,"£72,300",
3/28/2024,Pippa Lambert,Insider,Buy,881,GBX 499,"£4,396.19",
3/22/2024,Charlotte Jones,Insider,Sell,"7,837",GBX 495,"£38,793.15",
3/7/2024,Amanda Blanc,Insider,Buy,"10,597",GBX 474,"£50,229.78",
"Get Insider Trades Delivered To Your InboxEnter your email address below to receive a concise daily summary of insider buying activity, insider selling activity and changes in hedge fund holdings.",,,,,,,
12/27/2023,Pippa Lambert,Insider,Buy,"1,260",GBX 435,"£5,481",
10/12/2023,Mohit Joshi,Insider,Buy,"59,300",GBX 409,"£242,537",
9/28/2023,Pippa Lambert,Insider,Buy,"1,400",GBX 391,"£5,474",
9/25/2023,George Culmer,Insider,Buy,"110,675",GBX 396,"£438,273",
8/23/2023,Andrea Blance,Insider,Buy,"26,500",GBX 381,"£100,965",
8/16/2023,Shonaid Jemmett- Page,Insider,Buy,"5,925",GBX 386,"£22,870.50",
